Unnamed: 0,DateTime,Date,Time,COD(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,13.59
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,15.21
2.0,09 Aug 13:57,09 Aug 2021,13:57:19,15.55
3.0,09 Aug 15:16,09 Aug 2021,15:16:19,15.36
4.0,09 Aug 16:29,09 Aug 2021,16:29:24,15.33
5.0,09 Aug 17:29,09 Aug 2021,17:29:51,15.32
6.0,09 Aug 18:30,09 Aug 2021,18:30:16,15.54
7.0,09 Aug 19:30,09 Aug 2021,19:30:40,15.36
8.0,10 Aug 00:49,10 Aug 2021,00:49:39,15.25
9.0,10 Aug 08:24,10 Aug 2021,08:24:01,15.78
10.0,10 Aug 09:26,10 Aug 2021,09:26:56,15.86
11.0,10 Aug 10:27,10 Aug 2021,10:27:28,15.98
12.0,10 Aug 19:26,10 Aug 2021,19:26:33,18.85
13.0,10 Aug 20:27,10 Aug 2021,20:27:03,18.88
14.0,10 Aug 21:30,10 Aug 2021,21:30:23,18.83
15.0,11 Aug 08:47,11 Aug 2021,08:47:06,17.92
16.0,11 Aug 10:20,11 Aug 2021,10:20:04,17.4
17.0,11 Aug 12:13,11 Aug 2021,12:13:36,17.12
18.0,11 Aug 16:56,11 Aug 2021,16:56:21,16.67
19.0,11 Aug 18:00,11 Aug 2021,18:00:02,16.05
20.0,12 Aug 10:59,12 Aug 2021,10:59:37,15.28
21.0,12 Aug 12:14,12 Aug 2021,12:14:31,15.26
22.0,16 Aug 10:05,16 Aug 2021,10:05:25,18.94
23.0,16 Aug 11:06,16 Aug 2021,11:06:03,17.82
24.0,16 Aug 15:15,16 Aug 2021,15:15:28,18.69
25.0,16 Aug 16:15,16 Aug 2021,16:15:54,21.75
26.0,16 Aug 17:19,16 Aug 2021,17:19:32,18.81
27.0,16 Aug 18:19,16 Aug 2021,18:19:53,18.49
28.0,16 Aug 19:20,16 Aug 2021,19:20:17,18.32
29.0,16 Aug 23:18,16 Aug 2021,23:18:09,17.58
30.0,17 Aug 00:18,17 Aug 2021,00:18:33,16.88
31.0,19 Aug 21:09,19 Aug 2021,21:09:25,14.74
32.0,19 Aug 22:09,19 Aug 2021,22:09:52,15.01
33.0,23 Aug 15:16,23 Aug 2021,15:16:38,16.99
34.0,23 Aug 18:03,23 Aug 2021,18:03:46,16.56
35.0,28 Aug 10:21,28 Aug 2021,10:21:18,24.3
36.0,28 Aug 11:35,28 Aug 2021,11:35:06,24.48
37.0,28 Aug 12:45,28 Aug 2021,12:45:39,24.9
38.0,28 Aug 15:26,28 Aug 2021,15:26:51,26.43
39.0,28 Aug 18:00,28 Aug 2021,18:00:08,27.49
40.0,28 Aug 19:18,28 Aug 2021,19:18:38,28.32
,03 Sep 02:17,03 Sep 2021,02:17:33,15.82
,03 09 10:54,03 Sep 2021,10:54:46,14.58
,10 Sep 17:38,10 Sep 2021,17:38:26,0.0
