,DateTime,Date,Time,Chloride(mg/l)
0,04 Aug 14:26,04 Aug 2021,14:26:24,13.5
1,09 Aug 11:41,09 Aug 2021,11:41:48,13.7
2,09 Aug 15:16,09 Aug 2021,15:16:19,13.9
3,09 Aug 16:29,09 Aug 2021,16:29:24,13.8
4,10 Aug 00:49,10 Aug 2021,00:49:39,13.7
5,10 Aug 08:24,10 Aug 2021,08:24:01,13.6
6,10 Aug 09:26,10 Aug 2021,09:26:56,13.5
7,10 Aug 19:26,10 Aug 2021,19:26:33,13.7
8,11 Aug 08:47,11 Aug 2021,08:47:06,13.5
9,11 Aug 10:20,11 Aug 2021,10:20:04,13.6
10,11 Aug 12:13,11 Aug 2021,12:13:36,13.7
11,11 Aug 16:56,11 Aug 2021,16:56:21,13.8
12,11 Aug 18:00,11 Aug 2021,18:00:02,13.9
13,12 Aug 10:59,12 Aug 2021,10:59:37,13.7
14,12 Aug 12:14,12 Aug 2021,12:14:31,12.9
15,16 Aug 10:05,16 Aug 2021,10:05:25,13.0
16,16 Aug 15:15,16 Aug 2021,15:15:28,13.1
17,16 Aug 16:15,16 Aug 2021,16:15:54,13.2
18,16 Aug 23:18,16 Aug 2021,23:18:09,13.1
19,19 Aug 21:09,19 Aug 2021,21:09:25,13.2
20,23 Aug 15:16,23 Aug 2021,15:16:38,13.1
21,28 Aug 10:21,28 Aug 2021,10:21:18,12.4
22,28 Aug 15:26,28 Aug 2021,15:26:51,12.5
23,03 Sep 02:17,03 Sep 2021,02:17:33,12.4
