Unnamed: 0,DateTime,Date,Time,TOC(mg/l )
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,7.53
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,6.74
2.0,09 Aug 13:57,09 Aug 2021,13:57:19,6.54
3.0,09 Aug 15:16,09 Aug 2021,15:16:19,6.47
4.0,09 Aug 16:29,09 Aug 2021,16:29:24,6.52
5.0,09 Aug 17:29,09 Aug 2021,17:29:51,6.42
6.0,09 Aug 18:30,09 Aug 2021,18:30:16,6.47
7.0,09 Aug 19:30,09 Aug 2021,19:30:40,6.61
8.0,10 Aug 00:49,10 Aug 2021,00:49:39,6.74
9.0,10 Aug 08:24,10 Aug 2021,08:24:01,6.3
10.0,10 Aug 09:26,10 Aug 2021,09:26:56,6.19
11.0,10 Aug 10:27,10 Aug 2021,10:27:28,6.17
12.0,10 Aug 19:26,10 Aug 2021,19:26:33,6.34
13.0,10 Aug 20:27,10 Aug 2021,20:27:03,6.51
14.0,10 Aug 21:30,10 Aug 2021,21:30:23,6.6
15.0,11 Aug 08:47,11 Aug 2021,08:47:06,7.73
16.0,11 Aug 10:20,11 Aug 2021,10:20:04,7.57
17.0,11 Aug 12:13,11 Aug 2021,12:13:36,7.75
18.0,11 Aug 16:56,11 Aug 2021,16:56:21,8.35
19.0,11 Aug 18:00,11 Aug 2021,18:00:02,8.49
20.0,12 Aug 10:59,12 Aug 2021,10:59:37,6.61
21.0,12 Aug 12:14,12 Aug 2021,12:14:31,6.49
22.0,16 Aug 10:05,16 Aug 2021,10:05:25,7.35
23.0,16 Aug 11:06,16 Aug 2021,11:06:03,7.2
24.0,16 Aug 15:15,16 Aug 2021,15:15:28,6.78
25.0,16 Aug 16:15,16 Aug 2021,16:15:54,6.62
26.0,16 Aug 17:19,16 Aug 2021,17:19:32,6.72
27.0,16 Aug 18:19,16 Aug 2021,18:19:53,6.68
28.0,16 Aug 19:20,16 Aug 2021,19:20:17,6.57
29.0,16 Aug 23:18,16 Aug 2021,23:18:09,6.41
30.0,19 Aug 21:09,19 Aug 2021,21:09:25,4.86
31.0,19 Aug 22:09,19 Aug 2021,22:09:52,4.91
32.0,23 Aug 15:16,23 Aug 2021,15:16:38,4.48
33.0,28 Aug 10:21,28 Aug 2021,10:21:18,5.66
,03 Sep 02:17,03 Sep 2021,02:17:33,6.42
,10 Sep 17:38,10 Sep 2021,17:38:26,8.27
,12 Sep 16:50,12 Sep 2021,16:50:46,5.57
,12 Sep 17:30,12 Sep 2021,17:30:03,5.99
,12 Sep 18:40,12 Sep 2021,18:40:42,5.95
,12 Sep 21:12,12 Sep 2021,21:12:54,5.99
